name,description
CWA-EQ-Catalog-1990.xml,1990年規模3以上地震目錄
CWA-EQ-Catalog-1991.xml,1991年規模3以上地震目錄
CWA-EQ-Catalog-1992.xml,1992年規模3以上地震目錄
CWA-EQ-Catalog-1993.xml,1993年規模3以上地震目錄
CWA-EQ-Catalog-1994.xml,1994年規模3以上地震目錄
CWA-EQ-Catalog-1995.xml,1995年規模3以上地震目錄
CWA-EQ-Catalog-1996.xml,1996年規模3以上地震目錄
CWA-EQ-Catalog-1997.xml,1997年規模3以上地震目錄
CWA-EQ-Catalog-1998.xml,1998年規模3以上地震目錄
CWA-EQ-Catalog-1999.xml,1999年規模3以上地震目錄
CWA-EQ-Catalog-2000.xml,2000年規模3以上地震目錄
CWA-EQ-Catalog-2001.xml,2001年規模3以上地震目錄
CWA-EQ-Catalog-2002.xml,2002年規模3以上地震目錄
CWA-EQ-Catalog-2003.xml,2003年規模3以上地震目錄
CWA-EQ-Catalog-2004.xml,2004年規模3以上地震目錄
CWA-EQ-Catalog-2005.xml,2005年規模3以上地震目錄
CWA-EQ-Catalog-2006.xml,2006年規模3以上地震目錄
CWA-EQ-Catalog-2007.xml,2007年規模3以上地震目錄
CWA-EQ-Catalog-2008.xml,2008年規模3以上地震目錄
CWA-EQ-Catalog-2009.xml,2009年規模3以上地震目錄
CWA-EQ-Catalog-2010.xml,2010年規模3以上地震目錄
CWA-EQ-Catalog-2011.xml,2011年規模3以上地震目錄
CWA-EQ-Catalog-2012.xml,2012年規模3以上地震目錄
CWA-EQ-Catalog-2013.xml,2013年規模3以上地震目錄
CWA-EQ-Catalog-2014.xml,2014年規模3以上地震目錄
CWA-EQ-Catalog-2015.xml,2015年規模3以上地震目錄
CWA-EQ-Catalog-2016.xml,2016年規模3以上地震目錄
CWA-EQ-Catalog-2017.xml,2017年規模3以上地震目錄
CWA-EQ-Catalog-2018.xml,2018年規模3以上地震目錄
CWA-EQ-Catalog-2019.xml,2019年規模3以上地震目錄
CWA-EQ-Catalog-2020.xml,2020年規模3以上地震目錄
CWA-EQ-Catalog-2021.xml,2021年規模3以上地震目錄
CWA-EQ-Catalog-2022.xml,2022年規模3以上地震目錄
CWA-EQ-Catalog-2023.xml,2023年規模3以上地震目錄
